種類,類別,狀態,發票類型,公司,客戶,公司名稱,發票,名稱,描述,支票,付款日期,總額,車輛,參考服務,參考費用,入帳票編號,epd214,代付,已付款,註解,refServices,refVehicles,refContracts,refClients,refDrivers
"服務發票","付款記錄","收入","代工租機車收入","DTC","","","DTCSF99506","","","BOC101050","2022-06-29",50700,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","法國地基","","DCLS9A1CE6","銀行轉帳","","877594","2022-02-17",200170,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","2033790, 2033791, 2033793, 2033794, 2033795, 2033796, 2033797, 2033694, 2033695, 2033696, 2033697, 2033698, 2033699, 2033700, 2033555, 2033556, 2033557, 2033558, 2033560, 2033564, 2033562, 2033565, 2033566, 2033567, 2041302, 2041302, 2041303, 2041303, 2041304, 2041305, 2041306, 2041307, 2041308, 2041309, 2041310, 2041311, 2041312, 2041313, 2041314, 2041312, 2041312, 2041315, 2041316, 2041317, 2041318, 2041319, 2041320, 2041321, 2041322, 2041323","UU987, RP3413","","法國地基","莊基達, 街車"
"服務發票","付款記錄","收入","租賃服務收入","DCL","","","DCLS26607A","","","","2022-06-30",379000,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCSD6159A","","","","2022-04-05","","","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS3490AC","銀行轉帳","","000391","2022-10-06",7280,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000772, 3000773, 3000793, 1863291, 1863292, 1863295, 1860145, 1860146","VE987, PE3086",""," 榮興","朱偉業, 街車"
"服務發票","付款記錄","收入","運輸服務收入","DTC","","","DTCS2C2B8D","","","BOC100802","2023-03-27",9100,"","","","","64548844a0eb9377daeb2abe","","","","3000878, 3000879, 3000883, 3000884, 3007468, 3007469, 3000821, 3000822, 3000835, 3000836","VE987, WC987",""," 榮興","朱偉業"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCSA3392B","銀行轉帳","","100496","2022-03-02",4470,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1866457, 1867272, 1867274, 1867273, 1867275","EM987, VE987",""," 榮興","盧光耀, 朱偉業"
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS353CCE","","","","",56813,"","","","","64548844a0eb9377daeb2abe","","","","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS742450","","","855361","2022-03-15",119820,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","聯友",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS82B514","銀行轉帳","","BOC000474","2022-06-14",56940,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000947, 3000948, 3000160, 3000166, 3000167,  3000168, 3000170, 3000171, 3000172, 3000173, 3000174, 3000175, 3000176, 3000177, 3000178, 3000179, 3000180, 3000181, 3000183, 3000184, 3000185, 3000186, 3000187, 3000188, 3000189, 3000190, 3000191, 3000192, 3000193, 3000194, 3000195, 3000196, 3000197, 3000198, 3000199, 3000200, 1867551, 1867552, 1867553, 1867554, 1867555, 1867556, 1867560, 1867561, 1867562, 1867563, 1867564, 1867565, 1867566, 1867567, 1867568, 1867569, 1867570, 1867571, 1867572, 1867578, 1867557, 1865659, 1865660, 1865663, 1865664, 1865665, 1865666, 1865679, 1865682, 1865684, 1865689, 1865690, 1865691, 1865693, 1865694, 1865695, 1865696, 1865697, 1865698, 3000302, 3000303, 1865692","VE987, HW924",""," 榮興","朱偉業"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS15B8F5","銀行轉帳","","100474","2022-02-16",11730,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCS89C2AB","","","100999","2022-03-25",-15667.7,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCSA541F1","","","100965","2022-01-24",956250,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS97EEAC","","","","",28000,"","","","","64548844a0eb9377daeb2abe","","","","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DTC","","","DTCS01FDA1","","","","2021-12-07",39120,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCSD6159A","","","100149","2022-04-05",1422269.5,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","金門","","DCLS9BCDE4","銀行轉帳","","","2022-03-14",594948,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","61bab6074b4a673e0ba37fd2, 61bab6804b4a673e0ba38354, 61bab6854b4a673e0ba385df, 61bab68a4b4a673e0ba38868, 61bab6ee4b4a673e0ba38af3, 61bab6f44b4a673e0ba38d90, 61bab6fa4b4a673e0ba3902b, 61bab6ff4b4a673e0ba392c4, 61bab7044b4a673e0ba394ab, 61bab7124b4a673e0ba3956e, 61bab7894b4a673e0ba3a0ef, 61bab78e4b4a673e0ba3a3b0, 61bab7934b4a673e0ba3a66f, 61bab7974b4a673e0ba3a92c, 61bc15714b4a673e0ba4949b, 61bc15ca4b4a673e0ba49870, 61bc15d04b4a673e0ba49b4f, 61bc15d54b4a673e0ba49e2c, 61bc15fb4b4a673e0ba4a10b, 61bc15ff4b4a673e0ba4a3fc, 61bc16034b4a673e0ba4a6eb, 61bc16084b4a673e0ba4a9d8, 61bc160c4b4a673e0ba4ac13, 61bc16984b4a673e0ba4bbf0, 61bc169d4b4a673e0ba4bef7, 61bc16a24b4a673e0ba4c1f6, 61c1ae200d8bb74f5a3cb97f, 61c1aec00d8bb74f5a3cbdc1, 61c1aec50d8bb74f5a3cc0ca, 61c1aeca0d8bb74f5a3cc3cb, 61c1aece0d8bb74f5a3cc6c4, 61c1aed40d8bb74f5a3cc9b5, 61c1af700d8bb74f5a3ccd36, 61c1af760d8bb74f5a3cd03f, 61c1af7b0d8bb74f5a3cd340, 61c1af820d8bb74f5a3cd639, 61c1af860d8bb74f5a3cd92a, 61c1af8c0d8bb74f5a3cdc13, 61c1af910d8bb74f5a3cdef4, 61c1b82a0d8bb74f5a3d20fa, 61c1b8930d8bb74f5a3d24f0, 61c1b8990d8bb74f5a3d2804, 61c1b89f0d8bb74f5a3d2b10, 61c1b8a40d8bb74f5a3d2e14, 61c1b8a90d8bb74f5a3d3110, 61c1b8fb0d8bb74f5a3d340a, 61c1b8ff0d8bb74f5a3d371e, 61c1b9040d8bb74f5a3d3a2a, 61c1b90e0d8bb74f5a3d3d2e, 61c1b9150d8bb74f5a3d402a, 61c1b91e0d8bb74f5a3d431e, 61cbe3be0d8bb74f5a481afb, 61cbebe50d8bb74f5a48a607, 61cbec9f0d8bb74f5a48aad5, 61cbeca50d8bb74f5a48adba, 61cbecaa0d8bb74f5a48b09d, 61cbecb60d8bb74f5a48b37e, 61cbecbb0d8bb74f5a48b65d, 61cbecc10d8bb74f5a48b93a, 61cbecc80d8bb74f5a48bc15, 61cbeccf0d8bb74f5a48beee, 61cbed400d8bb74f5a48c1ce, 61cbed450d8bb74f5a48c4e3, 61cbed4a0d8bb74f5a48c7f0, 61cbed4e0d8bb74f5a48caf5, 61cbed530d8bb74f5a48cdf2, 61cbed580d8bb74f5a48d0e7, 61cbed5f0d8bb74f5a48d3d4, 61cbed640d8bb74f5a48d6b9, 61cbed690d8bb74f5a48d996, 61cbee380d8bb74f5a48dc77, 61cbee3e0d8bb74f5a48df8c, 61cbee480d8bb74f5a48e299, 61cbef040d8bb74f5a48e8ab, 61cbef590d8bb74f5a48ec38, 61cbef5e0d8bb74f5a48ef4d, 61cbef630d8bb74f5a48f25a, 61cbef680d8bb74f5a48f55f, 61cbef6e0d8bb74f5a48f85c, 61cbef730d8bb74f5a48fb51, 61cbef770d8bb74f5a48fe3e, 61cbef7b0d8bb74f5a490123, 61cbef800d8bb74f5a490400, 61cbefec0d8bb74f5a4906df, 61cbeff30d8bb74f5a4909f4, 61cbeff70d8bb74f5a490d01, 61cbeffd0d8bb74f5a491006, 61cbf0000d8bb74f5a491303, 61cbf0050d8bb74f5a4915f8, 61cbf0090d8bb74f5a4918e5, 61cbf0100d8bb74f5a491bfd, 61cbf0170d8bb74f5a491ed3, 61cbf01f0d8bb74f5a4921ac, 61cbf1030d8bb74f5a492593, 61cbf2e80d8bb74f5a4928a4, 61cbf35e0d8bb74f5a492ccb, 61cbf3640d8bb74f5a492fda, 61cbf3810d8bb74f5a4935ec, 61cbf3c00d8bb74f5a4938ef, 61cbf3c60d8bb74f5a493bfe, 61cbf3cb0d8bb74f5a493f05, 61cbf3d00d8bb74f5a494204, 61cfe3270d8bb74f5a4abb63, 61cfe3d80d8bb74f5a4ac03f, 61cfe3db0d8bb74f5a4ac274, 61cfe3de0d8bb74f5a4ac337, 61cfe4700d8bb74f5a4ac612, 61cfe4ee0d8bb74f5a4aca0e, 61cfe4f40d8bb74f5a4acc43, 61cfe50a0d8bb74f5a4acd06, 61cfe58e0d8bb74f5a4acfe8, 61cfe5960d8bb74f5a4ad2c5, 61cfe5a60d8bb74f5a4ad59a, 61cfe6570d8bb74f5a4ad8d9, 61cfe7300d8bb74f5a4ae957, 61cfe7380d8bb74f5a4aeb8c, 61cfe7400d8bb74f5a4aec4f, 61cfe74d0d8bb74f5a4aef23, 61cfe7550d8bb74f5a4af141, 61cfe7600d8bb74f5a4af204, 61cfe7c50d8bb74f5a4af4d3, 61cfe7cf0d8bb74f5a4af7c4, 61cfe7da0d8bb74f5a4afab3, 61cfe7e30d8bb74f5a4afcf0, 61cfe81a0d8bb74f5a4afdb9, 61cfe8e60d8bb74f5a4b0ea3, 61cfe8ec0d8bb74f5a4b1102, 61cfe8f30d8bb74f5a4b11c5, 61cfe8f90d8bb74f5a4b11d8, 61cfe8fd0d8bb74f5a4b11eb, 61cfe9020d8bb74f5a4b11fe, 61cfe9540d8bb74f5a4b121d, 61cfe95c0d8bb74f5a4b1230, 61cfe9620d8bb74f5a4b1243, 61cfe9680d8bb74f5a4b1256, 61cfe9ef0d8bb74f5a4b1271, 61cfeaf00d8bb74f5a4b20da, 61cfeaf40d8bb74f5a4b23ef, 61cfeafb0d8bb74f5a4b26fc, 61cfeb010d8bb74f5a4b2a00, 61cfeb0a0d8bb74f5a4b2cfe, 61cfebe60d8bb74f5a4b3003, 61cfebeb0d8bb74f5a4b3318, 61cfebf20d8bb74f5a4b3625, 61cfebf80d8bb74f5a4b392a, 61cfec000d8bb74f5a4b3c27, 61cfeca80d8bb74f5a4b3f26, 61cfed070d8bb74f5a4b423d, 61cfede60d8bb74f5a4b47d6, 61cfedec0d8bb74f5a4b4aeb, 61cfedf10d8bb74f5a4b4df8, 61cfedf90d8bb74f5a4b50fd, 61cfee010d8bb74f5a4b53fa, 61cfee070d8bb74f5a4b56ef, 61cfee0d0d8bb74f5a4b59dc, 61cfee710d8bb74f5a4b5cc9, 61cfee7d0d8bb74f5a4b5f2e, 61cfeeed0d8bb74f5a4b6cf2, 61cfeef50d8bb74f5a4b6f47, 61cfef030d8bb74f5a4b700a, 61cfef090d8bb74f5a4b701e, 61cfef120d8bb74f5a4b730a, 61cfefb30d8bb74f5a4b75fc, 61cfefbd0d8bb74f5a4b7861, 61cfefdb0d8bb74f5a4b7926, 61cff0780d8bb74f5a4b7c39, 61cff0820d8bb74f5a4b7f4e, 61cff08c0d8bb74f5a4b825b, 61cff0e00d8bb74f5a4b8564, 61cff0e50d8bb74f5a4b8879, 61cff0ea0d8bb74f5a4b8b86, 61cff0ee0d8bb74f5a4b8e8b, 61d277df0d8bb74f5a4bbe5e","MV897, TF3306, JR981, UU987, PD1680, PP3296, UA7205","","金門","盧光耀, 楊玉強, 霍耀基, 區國翔, 街車, 周宇生"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCSCEA1CC","銀行轉帳","","100158","2022-06-15",378000,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000926, 3000931, 3000935, 3000169, 1867845, 1867846, 1865674, 1865688, 2041537, 2041157, 2041167, 3008212, 3008210, 3008203, 1867842, 1867848, 2043024, 1867843, 1867849, 3007249, 2041511, 2041510, 2040071, 3000927, 1867847, 1865677, 1865680, 1865681, 1865683, 1865685, 1865687, 2041538, 2041539, 2041541, 2041151, 2041152, 2041155, 2041156, 2041546, 2041542, 2041544, 2041545, 2041547, 2041153, 2041507, 2041508, 2043127, 2041543, 2041540, 2040052, 1865653, 1865654, 2041521, 2041527, 2041530, 2041532, 2041533, 2041534, 2041535, 2041536, 3007245, 3008202, 2041522, 2041523, 2041528, 2043042, 2043043, 2043044, 2043045, 2043046, 3008204, 1867850, 2042001, 2040065, 2040066, 2040058, 2043025, 2043029, 2043031, 2041519, 2041520, 2041524, 2041529, 3008201, 2041526, 1865655, 2040773, 3007248, 3007243, 2041525, 2042002, 2043030, 2040067, 2040069, 2040070, 2041503, 2041505, 2043032, 1865678, 1867847, 3008205, 3008206, 3008207, 3008208, 3008209, 3008211, 2041154, 2041518","VE987, HW924, VJ6178, SK3160, ME122, UU7411, NW8509, PW2263, RX7588, SS9363, TW6863, WW8719, WW1903, RX159,  SE6481, SL9686, VL9310, WE6855, GP6607, KH8162, NB1321, NW3263, RL1185, RV3710, RY9682, WG6527, XN8565, XS5878, RG1161",""," 榮興","朱偉業, 街車"
"服務發票","付款記錄","收入","租賃服務收入","DCL","","","DCLSA7EFCC","","","","2022-01-27",68500,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","工程服務收入","DCL","","","DCLSF8BB5F","","","","2023-01-06",307951.07,"","","","","64548844a0eb9377daeb2abe","","","","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS4D0871","銀行轉帳","","100503","2022-03-11",2730,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLSFFC05C","","","","2022-04-28",304150,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS0211B0","","","855361","",119820,"","","","","64548844a0eb9377daeb2abe","","","","","","","聯友",""
"服務發票","付款記錄","收入","運輸服務收入","DCL","","","DCLS029049","","","","2022-06-08",57970,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","","","金門",""
"服務發票","付款記錄","收入","工程服務收入","DTC","","","DTCS6C0E12","","","BOC100125","2022-02-23",1743499.7100000002,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS096A1E","銀行轉帳","","100614","2022-07-18",7280,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000856, 3000864, 3000307, 3000308, 3000322, 3000321, 3000320, 3000323","VE987, HW924",""," 榮興","朱偉業, 街車"
"服務發票","付款記錄","收入","運輸服務收入","DTC"," 榮興","","DTCS1727B0","銀行轉帳","","100474","2022-02-16",38310,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","1866252, 1866254, 3007181, 3007182, 3007183, 3007595, 3007596, 3007506, 3007507, 3007508, 3007509, 3007510, 3007511, 3007512, 3007513, 3007514, 3007515, 1866328, 1866330, 1866329, 1866337, 1866339, 1866338, 1866342, 1866348, 1866345, 1866344, 1866343, 1861104, 1861107, 1861106, 1861105, 3007178, 3007180, 3007179, 1861115, 1861120, 1861119, 1861118, 1861117, 1861116, 1861124, 1861123, 1861122, 1861121, 1861126, 1861125, 1861134, 1861133, 1861132, 3007186, 3007185, 3007184, 1867809, 1867807","EM987, VE987, WC987, HW924",""," 榮興","莊基達, 盧光耀, 朱偉業, 馬文海, 街車"
"服務發票","付款記錄","收入","代工租機車收入","DTC","","","DTCSF94B0C","","","100153","2022-06-08",11200,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","","",""," 榮興",""
"服務發票","付款記錄","收入","運輸服務收入","DTC","創達","","DTCS7501D5","銀行轉帳","","003294","2022-05-17",63680,"","","","","64548844a0eb9377daeb2abe","",TRUE,"","3000765, 3000766, 3000767, 3000768, 3000769, 3000770, 3000779, 3000781, 3000783, 1863253, 1863254, 1863258, 1863259, 1863260, 1863261, 1863262, 1863263, 1863264, 1863265, 1863266, 1863268, 1863269, 1863270, 1863273, 1863274, 1863275, 1863276, 1863277, 1863278, 1863279, 1863280, 1863281, 1863282, 1863283, 1863287, 1863288, 1863289, 1863290, 1863294, 1863297, 1863299, 1863300, 3000901, 3000902, 3000903, 3000904, 1860138, 1860139, 1860140, 1860141, 1860142, 1860143, 3000652, 1867821, 1867822, 1867823, 1867824, 1867825, 1867826, 1867827, 1867828, 1867829, 1867830, 1867831, 1867832, 1867833, 1867834, 1866214, 1866215, 1866216, 1866217, 1866219, 3007225, 3007226, 3007227, 3007228, 3007210, 3007212, 3007217, 3007224, 3007232, 3007236, 3007235, 3007237, 3007239, 3007549, 3007550, 3006001, 3006002, 3006003, 3006004, 1866222, 1866223, 1866224, 1866225, 1866226, 1866227, 1866228, 1866229","EM987, VE987, WC987, HW924, SL5315, VR902, WT9868, KV522, PE3086, ME122","","創達","盧光耀, 魏國汕, 朱偉業, 街車"
"服務發票","付款記錄","收入","代工租機車收入","DTC","","","DTCSFBC40D","","","BOC646209","2022-06-08",22100,"","","","","64548844a0eb9377daeb2abe","","","","","",""," 榮興",""
